Species,Year,Country,County,Site ID,Site,Master site,Subsite,StartGrid,EndGrid,Visit dates,Method,Unit,Count,Accuracy,Fledged count,Fledged accuracy,Comments
Kittiwake,2015,England,Humberside,98273,Flamborough Head and Bempton Cliffs,Flamborough and Filey Coast SPA,Saddle Nook 2,TA231691,TA155754,,1.1,AON,50,C,47,C,
Kittiwake,2018,England,Humberside,98273,Flamborough Head and Bempton Cliffs,Flamborough and Filey Coast SPA,Old Dor,TA231691,TA155754,,1.1,AON,50,C,35,C,
Kittiwake,2017,England,Humberside,98273,Flamborough Head and Bempton Cliffs,Flamborough and Filey Coast SPA,Breil Nook North,TA231691,TA155754,,1.1,AON,50,C,42,C,
Kittiwake,2009,England,Humberside,98273,Flamborough Head and Bempton Cliffs,Flamborough and Filey Coast SPA,Newcombe,TA231691,TA155754,,1.1,AON,50,C,36,C,
Kittiwake,2015,England,Humberside,98273,Flamborough Head and Bempton Cliffs,Flamborough and Filey Coast SPA,Grandstand North Near,TA231691,TA155754,,1.1,AON,50,C,40,C,
Kittiwake,2011,England,Humberside,98273,Flamborough Head and Bempton Cliffs,Flamborough and Filey Coast SPA,Saddle Nook 2,TA231691,TA155754,,1.1,AON,50,C,52,C,
Kittiwake,2011,England,Humberside,98273,Flamborough Head and Bempton Cliffs,Flamborough and Filey Coast SPA,Breil Nook South,TA231691,TA155754,,1.1,AON,50,C,33,C,
Kittiwake,1991,England,Humberside,98273,Flamborough Head and Bempton Cliffs,Flamborough and Filey Coast SPA,ALL,TA231691,TA155754,,other,AON,326,C,385,C,4903
Kittiwake,2019,England,Humberside,98273,Flamborough Head and Bempton Cliffs,Flamborough and Filey Coast SPA,Bartlett Nab Far,TA231691,TA155754,,1.1,AON,50,C,23,C,
Kittiwake,2015,England,Humberside,98273,Flamborough Head and Bempton Cliffs,Flamborough and Filey Coast SPA,Saddle Nook 1,TA231691,TA155754,,1.1,AON,50,C,38,C,
Kittiwake,2012,England,Humberside,98273,Flamborough Head and Bempton Cliffs,Flamborough and Filey Coast SPA,Grandstand North Near Edge,TA231691,TA155754,,1.1,AON,49,C,50,C,
Kittiwake,2017,England,Humberside,98273,Flamborough Head and Bempton Cliffs,Flamborough and Filey Coast SPA,Bartlett Nab Near,TA231691,TA155754,,1.1,AON,50,C,34,C,
Kittiwake,2017,England,Humberside,98273,Flamborough Head and Bempton Cliffs,Flamborough and Filey Coast SPA,Back of Newcombe,TA231691,TA155754,,1.1,AON,50,C,33,C,
Kittiwake,2015,England,Humberside,98273,Flamborough Head and Bempton Cliffs,Flamborough and Filey Coast SPA,Old Dor,TA231691,TA155754,,1.1,AON,50,C,29,C,
Kittiwake,2017,England,Humberside,98273,Flamborough Head and Bempton Cliffs,Flamborough and Filey Coast SPA,Grandstand North Near,TA231691,TA155754,,1.1,AON,50,C,29,C,
Kittiwake,2009,England,Humberside,98273,Flamborough Head and Bempton Cliffs,Flamborough and Filey Coast SPA,Old Dor,TA231691,TA155754,,1.1,AON,50,C,55,C,
Kittiwake,2012,England,Humberside,98273,Flamborough Head and Bempton Cliffs,Flamborough and Filey Coast SPA,Breil Nook South,TA231691,TA155754,,1.1,AON,48,C,43,C,
Kittiwake,2010,England,Humberside,98273,Flamborough Head and Bempton Cliffs,Flamborough and Filey Coast SPA,Bartlett Nab Far,TA231691,TA155754,,1.1,AON,50,C,55,C,
Kittiwake,2011,England,Humberside,98273,Flamborough Head and Bempton Cliffs,Flamborough and Filey Coast SPA,Bartlett Nab Near,TA231691,TA155754,,1.1,AON,50,C,52,C,
Kittiwake,2013,England,Humberside,98273,Flamborough Head and Bempton Cliffs,Flamborough and Filey Coast SPA,Bartlett Nab Far,TA231691,TA155754,,1.1,AON,50,C,19,C,
Kittiwake,2010,England,Humberside,98273,Flamborough Head and Bempton Cliffs,Flamborough and Filey Coast SPA,Carter Lane 1,TA231691,TA155754,,1.1,AON,50,C,52,C,
Kittiwake,1987,England,Humberside,98273,Flamborough Head and Bempton Cliffs,Flamborough and Filey Coast SPA,ALL,TA231691,TA155754,,other,AON,364,C,564,C,4899
Kittiwake,2009,England,Humberside,98273,Flamborough Head and Bempton Cliffs,Flamborough and Filey Coast SPA,Breil Nook North,TA231691,TA155754,,1.1,AON,50,C,44,C,
Kittiwake,2011,England,Humberside,98273,Flamborough Head and Bempton Cliffs,Flamborough and Filey Coast SPA,Saddle Nook 1,TA231691,TA155754,,1.1,AON,50,C,34,C,
